Title,Publication Title,Volume,Issue,DOI,Authors,Publication Year,URL,Type,Abstract,Keywords,Date,Date Added,Date Modified,Pages,Extra,Key
Media Ethics in the Digital World: Emerging Technology Concerns and Covid-19 Lessons,Journal of Media Ethics,38,1,10.1080/23736992.2023.2159102,"Feng, Yayu",2022,,journalArticle,,,2022,2023-11-06 14:09:47,2023-11-06 14:09:47,60–63,Publisher: Routledge,4RV48BUN
"Special Call From the \emphJournal of Media Ethics: Media Ethics Symposium - ?Challenges to Digital Media Flourishing? October 2022, Pennsylvania State University",Journal of Media Ethics,38,4,10.1080/23736992.2023.2273099,"Plaisance, Patrick Lee",2023,,journalArticle,,,2023,2023-11-06 14:10:25,2023-11-06 14:10:25,290–290,Publisher: Routledge,PFERDLAH
The Ethics of Implementing Emergency Resource Allocation Protocols,Journal of Clinical Ethics,34,1,10.1086/723323,"Shaw, Margie Hodges; Ching, Chin-Lin; D?Angio, Carl T.; Shand, Jessica C.; Chiafery, Marianne; Herington, Jonathan; Dees, Richard H.",2023,,journalArticle,,,2023,2023-11-06 14:10:26,2023-11-06 14:10:26,58–68,Publisher: University of Chicago Press,GL3LICDK
Evaluating Options and Ethics in Pediatric Dentistry Due to Declining Access to Hospital Operating Rooms,Journal of Clinical Ethics,34,2,10.1086/724228,"Khan, Faisal M.; Ritwik, Priyanshi",2023,,journalArticle,,,2023,2023-11-06 14:10:28,2023-11-06 14:10:28,211–217,Publisher: University of Chicago Press,4ID4Z8WB
The Resident and the Spouse and the Lover and the Ethicist: Considerations and Challenges in Nursing Home Romance,Journal of Clinical Ethics,32,1,10.1086/jce2021321077,"Michels-Gaultieri, Mira; Appel, Jacob",2021,,journalArticle,,,2021,2023-11-06 14:05:13,2023-11-06 14:05:13,77–82,Publisher: University of Chicago Press,LS39ATZD
Ethics of Extracorporeal Membrane Oxygenation Under Conventional and Crisis Standards of Care,Journal of Clinical Ethics,33,1,10.1086/jce2022331013,"Parker, William F.; Siegler, Mark; Piscitello, Gina M.",2022,,journalArticle,,,2022,2023-11-06 14:09:51,2023-11-06 14:09:51,13–22,Publisher: University of Chicago Press,HK85Z5ZP
Toxic: The Challenge of Involuntary Contraception in Incompetent Psychiatric Patients Treated with Teratogenic Medications,Journal of Clinical Ethics,33,1,10.1086/jce2022331029,"Appel, Jacob M.; King, Bridget; Schwartzberg, Jordan L.",2022,,journalArticle,,,2022,2023-11-06 14:09:50,2023-11-06 14:09:50,29–35,Publisher: University of Chicago Press,DH36IYL8
Seeing the Invisible,Journal of Clinical Ethics,33,2,10.1086/jce2022332081,"Howe, Edmund G.",2022,,journalArticle,,,2022,2023-11-06 14:09:50,2023-11-06 14:09:50,81–91,Publisher: University of Chicago Press,9VTYUXAW
Ethical Challenges When Establishing Goals of Care in the Acute Care Surgical Setting,Journal of Clinical Ethics,33,2,10.1086/jce2022332146,"Kodadek, Lisa M.",2022,,journalArticle,,,2022,2023-11-06 14:09:48,2023-11-06 14:09:48,146–150,Publisher: University of Chicago Press,UF9SQ2FU
A Plea for Integrated Empirical and Philosophical Research on the Impacts of Feminized Ai Workers,Analysis,,1,10.1093/analys/anac050,"Read, Hannah; Gomez-Lavin, Javier; Beltrama, Andrea; Titus, Lisa Miracchi",2022,,journalArticle,,,2022,2023-11-06 14:09:47,2023-11-06 14:09:47,89–97,,Z347NMKH
Aesthetic Cognitivism and Serialized Television Fiction,Journal of Aesthetics and Art Criticism,81,1,10.1093/jaac/kpac053,"Jovanović, Iris Vidmar",2023,,journalArticle,,,2023,2023-11-06 14:10:27,2023-11-06 14:10:27,69–79,,23HMB2DU
Doctor Ex Machina: A Critical Assessment of the Use of Artificial Intelligence in Health Care,Journal of Medicine and Philosophy,47,1,10.1093/jmp/jhab036,"Svensson, Annika M.; Jotterand, Fabrice",2022,,journalArticle,,,2022,2023-11-06 14:09:49,2023-11-06 14:09:49,155–178,,EXUCCL8F
Bioethics: Shaping Medical Practice and Taking Diversity Seriously,Journal of Medicine and Philosophy,48,4,10.1093/jmp/jhad021,"Cherry, Mark J.",2023,,journalArticle,,,2023,2023-11-06 14:10:27,2023-11-06 14:10:27,313–321,,75BTHBJE
Nipping Diseases in the Bud? Ethical and Social Considerations of the Concept of ?Disease Interception?,Public Health Ethics,14,1,10.1093/phe/phaa036,"Narchi, Jonas; Winkler, Eva C.",2021,,journalArticle,,,2021,2023-11-06 14:05:12,2023-11-06 14:05:12,100–108,,SI23RGHE
Justifying the More Restrictive Alternative: Ethical Justifications for One Health Amr Policies Rely on Empirical Evidence,Public Health Ethics,16,1,10.1093/phe/phac025,"Johnson, Tess; Matlock, William",2023,,journalArticle,,,2023,2023-11-06 14:10:28,2023-11-06 14:10:28,22–34,,NFXYG6F9
Approaching Covid-19 as an Environmental Ethical Problem: A Perspective From African Relational Animal Ethics,Public Health Ethics,16,1,10.1093/phe/phad007,"Chemhuru, Munamato",2023,,journalArticle,,,2023,2023-11-06 14:10:27,2023-11-06 14:10:27,53–63,,X6E7RL4S
A Woman in Berlin: Reappraising Mass Sexual and Gender-Based Violence in Public Health,Public Health Ethics,16,2,10.1093/phe/phad014,"Bansal, Esha",2023,,journalArticle,,,2023,2023-11-06 14:10:28,2023-11-06 14:10:28,123–126,,EIRWKFZT
The Thailand National Ai Ethics Guideline: An Analysis,"Journal of Information, Communication and Ethics in Society",19,4,10.1108/jices-01-2021-0005,"Hongladarom, Soraj",2021,,journalArticle,,,2021,2023-11-06 14:05:09,2023-11-06 14:05:09,480–491,,WPJ325JW
Ethical Challenges of Researching Emergent Socio-Material-Technological Phenomena: Insights From an Interdisciplinary Mixed-Methods Project Using Mobile Eye-Tracking,"Journal of Information, Communication and Ethics in Society",19,3,10.1108/jices-01-2021-0007,"Kaufmann, Katja; Bork-Hüffer, Tabea; Gudowsky, Niklas; Rauhala, Marjo; Rutzinger, Martin",2021,,journalArticle,,,2021,2023-11-06 14:05:10,2023-11-06 14:05:10,391–408,,CF4TG8EI
On the Complexities of Studying Sensitive Communities Online as a Researcher?Participant,"Journal of Information, Communication and Ethics in Society",19,3,10.1108/jices-01-2021-0011,"Segerstad, Ylva H\a ard af",2021,,journalArticle,,,2021,2023-11-06 14:05:11,2023-11-06 14:05:11,409–423,,CXYU7PV6
Global Ethics for the Digital Age ? Flourishing Ethics,"Journal of Information, Communication and Ethics in Society",19,3,10.1108/jices-01-2021-0016,"Kantar, Nesibe; Bynum, Terrell Ward",2021,,journalArticle,,,2021,2023-11-06 14:05:09,2023-11-06 14:05:09,329–344,,XJVXYMZ6
"Ai Led Ethical Digital Transformation: Framework, Research and Managerial Implications","Journal of Information, Communication and Ethics in Society",20,2,10.1108/jices-02-2021-0020,"Saurabh, Kumar; Arora, Ridhi; Rani, Neelam; Mishra, Debasisha; Ramkumar, M.",2022,,journalArticle,,,2022,2023-11-06 14:09:47,2023-11-06 14:09:47,229–256,,IXYTEAV5
Toward a Digital Civil Society: Digital Ethics Through Communication Education,"Journal of Information, Communication and Ethics in Society",19,2,10.1108/jices-03-2020-0029,"Kaitatzi-Whitlock, Sophia",2021,,journalArticle,,,2021,2023-11-06 14:05:10,2023-11-06 14:05:10,187–206,,HITZNF77
Ethical Dilemmas When Conducting Sensitive Research: Interviewing Offenders Convicted of Child Pornography,"Journal of Information, Communication and Ethics in Society",20,3,10.1108/jices-03-2022-0028,"Eneman, Marie",2022,,journalArticle,,,2022,2023-11-06 14:09:51,2023-11-06 14:09:51,362–373,,AERZQM49
Analysis of Consumers? Negative Perceptions of Health Tracking in Insurance ? a Value Sacrifice Approach,"Journal of Information, Communication and Ethics in Society",19,4,10.1108/jices-05-2020-0061,"Talonen, Antti; Mähönen, Jukka; Koskinen, Lasse; Kuoppakangas, Päivikki",2021,,journalArticle,,,2021,2023-11-06 14:05:12,2023-11-06 14:05:12,463–479,,JKIJPHPL
Toward Accountable Human-Centered Ai: Rationale and Promising Directions,"Journal of Information, Communication and Ethics in Society",20,2,10.1108/jices-06-2021-0059,"Qadir, Junaid; Islam, Mohammad Qamar; Al-Fuqaha, Ala",2022,,journalArticle,,,2022,2023-11-06 14:09:50,2023-11-06 14:09:50,329–342,,J4UP9GSF
Ethical Practice in Sharing and Mining Medical Data,"Journal of Information, Communication and Ethics in Society",19,1,10.1108/jices-08-2019-0088,"Watson, Kevin; Payne, Dinah M.",2021,,journalArticle,,,2021,2023-11-06 14:05:12,2023-11-06 14:05:12,1–19,,KND7L8WE
Addressing Labour Exploitation in the Data Science Pipeline: Views of Precarious Us-Based Crowdworkers on Adversarial and Co-Operative Interventions,"Journal of Information, Communication and Ethics in Society",21,3,10.1108/jices-08-2022-0069,"Bates, Jo; Gerakopoulou, Elli; Checco, Alessandro",2023,,journalArticle,,,2023,2023-11-06 14:10:26,2023-11-06 14:10:26,342–357,,N3YRRAZU
Federated Data as a Commons: A Third Way to Subject-Centric and Collective-Centric Approaches to Data Epistemology and Politics,"Journal of Information, Communication and Ethics in Society",21,1,10.1108/jices-09-2021-0097,"Calzati, Stefano",2022,,journalArticle,,,2022,2023-11-06 14:09:48,2023-11-06 14:09:48,16–29,,UUYXFNTE
For the Record: The Evolution of Acceptable Digital Technology,"Journal of Information, Communication and Ethics in Society",19,4,10.1108/jices-11-2021-142,"Rogerson, Simon",2021,,journalArticle,,,2021,2023-11-06 14:05:10,2023-11-06 14:05:10,425–432,,3GQIYLER
Artificial Intelligence Ethics Guidelines for Developers and Users: Clarifying Their Content and Normative Implications,"Journal of Information, Communication and Ethics in Society",19,1,10.1108/jices-12-2019-0138,"Ryan, Mark; Stahl, Bernd Carsten",2021,,journalArticle,,,2021,2023-11-06 14:05:11,2023-11-06 14:05:11,61–86,,5UPG6549
Ethical Aspects of Voice Assistants: A Critical Discourse Analysis of Indonesian Media Texts,"Journal of Information, Communication and Ethics in Society",20,1,10.1108/jices-12-2020-0118,"Arifin, Anisa Aini; Lennerfors, Thomas Taro",2022,,journalArticle,,,2022,2023-11-06 14:09:50,2023-11-06 14:09:50,18–36,,3A27NREN
An Exploratory Qualitative Analysis of Ai Ethics Guidelines,"Journal of Information, Communication and Ethics in Society",20,4,10.1108/jices-12-2020-0125,"Franzke, Aline Shakti",2022,,journalArticle,,,2022,2023-11-06 14:09:48,2023-11-06 14:09:48,401–423,,CI73JG87
"Virtue Ethics, Situationism and Casuistry: Toward a Digital Ethics Beyond Exemplars","Journal of Information, Communication and Ethics in Society",19,3,10.1108/jices-12-2020-0126,"Vanacker, Bastiaan",2021,,journalArticle,,,2021,2023-11-06 14:05:10,2023-11-06 14:05:10,345–357,,ZJDDIP8P
Perspectives on Computing Ethics: A Multi-Stakeholder Analysis,"Journal of Information, Communication and Ethics in Society",20,1,10.1108/jices-12-2020-0127,"Gordon, Damian; Stavrakakis, Ioannis; Gibson, J. Paul; Tierney, Brendan; Becevel, Anna; Curley, Andrea; Collins, Michael; O?Mahony, William; O?Sullivan, Dympna",2022,,journalArticle,,,2022,2023-11-06 14:09:50,2023-11-06 14:09:50,72–90,,NCYX8QYD
Mapping Data Ethics Curricula,"Journal of Information, Communication and Ethics in Society",20,3,10.1108/jices-12-2021-0124,"Reeve, Jonathan; Zaugg, Isabelle; Zheng, Tian",2022,,journalArticle,,,2022,2023-11-06 14:09:47,2023-11-06 14:09:47,388–399,,X7IEYKY7
Critical Care for the Early Web: Ethical Digital Methods for Archived Youth Data,"Journal of Information, Communication and Ethics in Society",20,3,10.1108/jices-12-2021-0125,"Mackinnon, Katie",2022,,journalArticle,,,2022,2023-11-06 14:09:47,2023-11-06 14:09:47,349–361,,7NK3BYPC
"Targeting Vulnerable Populations: The Ethical Implications of Data Mining, Automated Prediction, and Focused Marketing",Business and Society Review,126,2,10.1111/basr.12233,"Callanan, Gerard A.; Perri, David F.; Tomkowicz, Sandra M.",2021,,journalArticle,,,2021,2023-11-06 14:05:10,2023-11-06 14:05:10,155–167,,K8E4ZX5C
Ethical Implications of Text Generation in the Age of Artificial Intelligence,"Business Ethics, the Environment and Responsibility",32,1,10.1111/beer.12479,"Illia, Laura; Colleoni, Elanor; Zyglidopoulos, Stelios",2022,,journalArticle,,,2022,2023-11-06 14:09:48,2023-11-06 14:09:48,201–210,,RBUWXUDU
All About the Human: A Buddhist Take on Ai Ethics,"Business Ethics, the Environment and Responsibility",32,3,10.1111/beer.12547,"Lin, Chien-Te",2023,,journalArticle,,,2023,2023-11-06 14:10:25,2023-11-06 14:10:25,1113–1122,,UHFJC58K
Queue Questions: Ethics of Covid-19 Vaccine Prioritization,Bioethics,35,4,10.1111/bioe.12858,"Giubilini, Alberto; Savulescu, Julian; Wilkinson, Dominic",2021,,journalArticle,,,2021,2023-11-06 14:05:11,2023-11-06 14:05:11,348–355,,YQIJMS9C
Exploring the Phenomenon and Ethical Issues of Ai Paternalism in Health Apps,Bioethics,36,2,10.1111/bioe.12886,"Kühler, Michael",2021,,journalArticle,,,2021,2023-11-06 14:05:09,2023-11-06 14:05:09,194–200,,DT7NL7XV
Responsibility Beyond Design: Physicians? Requirements for Ethical Medical Ai,Bioethics,36,2,10.1111/bioe.12887,"Sand, Martin; Durán, Juan Manuel; Jongsma, Karin Rolanda",2021,,journalArticle,,,2021,2023-11-06 14:05:10,2023-11-06 14:05:10,162–169,,9ZF9LJUQ
Justifying the Risks of Covid-19 Challenge Trials: The Analogy with Organ Donation,Bioethics,36,1,10.1111/bioe.12889,"Jayaram, Athmeya; Sparks, Jacob; Callies, Daniel",2022,,journalArticle,,,2022,2023-11-06 14:09:50,2023-11-06 14:09:50,100–106,,AZ6LQ8LS
Explicability of Artificial Intelligence in Radiology: Is a Fifth Bioethical Principle Conceptually Necessary?,Bioethics,36,2,10.1111/bioe.12918,"Ursin, Frank; Timmermann, Cristian; Steger, Florian",2022,,journalArticle,,,2022,2023-11-06 14:09:49,2023-11-06 14:09:49,143–153,,YJP3NCHS
Where Are the Children? An Autoethnography of Deception in Dementia in an Acute Hospital,Bioethics,35,9,10.1111/bioe.12931,"Hodge, Gary",2021,,journalArticle,,,2021,2023-11-06 14:05:11,2023-11-06 14:05:11,864–869,,ESPI6EZP
"Burying the Basilisk of Bioethics: What Can Be Resolved, Dissolved, and Refocused in the Ethics Expertise Debate",Bioethics,37,6,10.1111/bioe.13044,"Brummett, Abram",2023,,journalArticle,,,2023,2023-11-06 14:10:27,2023-11-06 14:10:27,515–522,,5WMLXTKY
Ethical Challenges in the Prioritization of Elective Care in Pandemic Settings: On the Significance of Time-Sensitive Scoring,Bioethics,37,4,10.1111/bioe.13149,"Diner, Sarah; Ritter, Manuel; Bondio, Mariacarla Gadebusch",2023,,journalArticle,,,2023,2023-11-06 14:10:25,2023-11-06 14:10:25,343–349,,J8VB64AJ
Fast-Tracking Development and Regulatory Approval of Covid-19 Vaccines in the Eu: A Review of Ethical Implications,Bioethics,37,5,10.1111/bioe.13151,"Beretta, Giorgia; Marelli, Luca",2023,,journalArticle,,,2023,2023-11-06 14:10:27,2023-11-06 14:10:27,498–507,,XRTGBF5S
Ethical Challenges in Research on Sexual Dysfunction,Bioethics,37,9,10.1111/bioe.13223,"Binik, Ariella; Binik, Yitzchak M.",2023,,journalArticle,,,2023,2023-11-06 14:10:24,2023-11-06 14:10:24,869–878,,MFFFEBNZ
Ethical Challenges in Consent Procedures Involving Pediatric Cancer Patients in Saudi Arabia: An Exploratory Survey,Developing World Bioethics,22,3,10.1111/dewb.12308,"Alahmad, Ghiath; AlSaqabi, Muneera; Alkamli, Hala; Aleidan, Mona",2022,,journalArticle,,,2022,2023-11-06 14:09:47,2023-11-06 14:09:47,140–151,,EA43S395
Ethical Discourse of Medical Students and Physicians on Conscientious Objection: A Qualitative Study in Turkey,Developing World Bioethics,21,2,10.1111/dewb.12314,"Kele\cs, Ş""ukrü; Aksu, Murat; Gülpınar, Gizem; Yalım, Neyyire Yasemin",2021,,journalArticle,,,2021,2023-11-06 14:05:11,2023-11-06 14:05:11,78–89,,TFS7NAGJ
Community Engagement in Genomic Research: Proposing a Strategic Model for Effective Participation of Indigenous Communities,Developing World Bioethics,22,4,10.1111/dewb.12329,"Ogunrin, Olubunmi; Gabbay, Mark; Woolfall, Kerry; Frith, Lucy; ogu",2021,,journalArticle,,,2021,2023-11-06 14:05:11,2023-11-06 14:05:11,189–202,,DH9AIQQR
Ethical Issues Raised by Uterus Transplantation: A Report From the People's Republic of China,Developing World Bioethics,23,1,10.1111/dewb.12346,"Gao, Yiqi; Xue, Tao; Chen, Biliang; Yang, Hong; Wei, Li",2022,,journalArticle,,,2022,2023-11-06 14:09:51,2023-11-06 14:09:51,34–40,,5GLDWVF6
Ethical Analysis of Cadaver Supply and Usage Processes for Research Within the Scope of the Helsinki Declaration,Developing World Bioethics,23,3,10.1111/dewb.12360,"Buruk, Banu; Ayta\cc, Güne\cs",2023,,journalArticle,,,2023,2023-11-06 14:10:28,2023-11-06 14:10:28,211–219,,XYAKMFPB
Happiness and Mental Illness: Virtue Ethics in Dialogue with Psychology,Heythrop Journal,62,3,10.1111/heyj.13122,"Clifton, Shane; Stevens, Bruce",2021,,journalArticle,,,2021,2023-11-06 14:05:12,2023-11-06 14:05:12,546–559,,K5AXLM5R
Between Treatment and Enhancement: Islamic Discourses on the Boundaries of Human Genetic Modification,Journal of Religious Ethics,50,3,10.1111/jore.12404,"Shabana, Ayman",2022,,journalArticle,,,2022,2023-11-06 14:09:49,2023-11-06 14:09:49,386–411,,28F2LJ6M
The Ethics of Refusing to Care for Patients During the Coronavirus Pandemic: A Chinese Perspective,Nursing Inquiry,28,1,10.1111/nin.12380,"Zhu, Junhong; Stone, Teresa; Petrini, Marcia",2021,,journalArticle,,,2021,2023-11-06 14:05:13,2023-11-06 14:05:13,e12380,,E6KTVYFT
Findings From a Mixed-Methods Pragmatic Cluster Trial Evaluating the Impact of Ethics Education Interventions on Residential Care-Givers,Nursing Inquiry,28,2,10.1111/nin.12383,"Gallagher, Ann; Peacock, Matthew; Williams, Emily; Zasada, Magdalena; Cox, Anna",2021,,journalArticle,,,2021,2023-11-06 14:05:09,2023-11-06 14:05:09,e12383,,JL9XHX2U
Covid-19 as Moral Breakdown: Entangled Ethical Demands Experienced by Hospital-Based Nurses in the Early Onset of the Pandemic,Nursing Inquiry,30,1,10.1111/nin.12508,"Mejdahl, Caroline Trillingsgaard; Nielsen, Berit Kj\a erside; Mehlsen, Mimi Yung; Hollesen, Maj Rafn; Pedersen, Mathilde Zilén; er-Trautwein, Georgij Engkj\a; Funch, Louise Vase; Terkildsen, Morten Deleuran",2023,,journalArticle,,,2023,2023-11-06 14:10:28,2023-11-06 14:10:28,e12508,,9HHSAQHN
Norwegian Nurses' Perceptions of Assisted Dying Requests From Terminally Ill Patients–a Qualitative Interview Study,Nursing Inquiry,30,1,10.1111/nin.12517,"Hol, Hege; Vatne, Solfrid; Strømskag, Kjell Erik; Orøy, Aud; Rokstad, Anne Marie Mork",2023,,journalArticle,,,2023,2023-11-06 14:10:25,2023-11-06 14:10:25,e12517,,F65AEJ6V
Headaches for Epistemologists,Philosophy and Phenomenological Research,104,2,10.1111/phpr.12765,"Talbot, Brian",2022,,journalArticle,,,2022,2023-11-06 14:09:51,2023-11-06 14:09:51,408–433,,XBED9VNS
Bare-Difference Methodology and the Scientific Analogy,Ratio,34,3,10.1111/rati.12300,"Kopeikin, Zak A.",2021,,journalArticle,,,2021,2023-11-06 14:05:12,2023-11-06 14:05:12,171–182,,GLEB59FP
A Co-Liberatory Framework for Big Data,Zygon,58,3,10.1111/zygo.12880,"Johnson, Matthew Kuan; Robertson, Rachel Siow",2023,,journalArticle,,,2023,2023-11-06 14:10:26,2023-11-06 14:10:26,749–769,,Z5TCFA6V
We Want to Help: Ethical Challenges of Medical Migration and Brain Waste During a Pandemic,Journal of Medical Ethics,49,9,10.1136/jme-2022-108311,"Fenton, Elizabeth; Chillag, Kata",2023,,journalArticle,,,2023,2023-11-06 14:10:25,2023-11-06 14:10:25,607–610,,A84MMVX6
Ethical Uncertainty and Covid-19: Exploring the Lived Experiences of Senior Physicians at a Major Medical Centre,Journal of Medical Ethics,49,4,10.1136/jme-2022-108369,"Muaygil, Ruaim; Aldekhyyel, Raniah; AlWatban, Lemmese; Almana, Lyan; Almana, Rana F.; Barry, Mazin",2023,,journalArticle,,,2023,2023-11-06 14:10:27,2023-11-06 14:10:27,275–282,,KIU5D4KU
Ethics of the Algorithmic Prediction of Goal of Care Preferences: From Theory to Practice,Journal of Medical Ethics,49,3,10.1136/jme-2022-108371,"Ferrario, Andrea; Gloeckler, Sophie; Biller-Andorno, Nikola",2023,,journalArticle,,,2023,2023-11-06 14:10:26,2023-11-06 14:10:26,165–174,,WB6GHTG9
Externalist Argument Against Medical Assistance in Dying for Psychiatric Illness,Journal of Medical Ethics,49,8,10.1136/jme-2022-108431,"Maung, Hane Htut",2023,,journalArticle,,,2023,2023-11-06 14:10:28,2023-11-06 14:10:28,553–557,,GW23Z4QV
?Vaxtax?: A Follow-Up Proposal for a Global Vaccine Pandemic Response Fund,Journal of Medical Ethics,49,3,10.1136/jme-2022-108491,"Germani, Federico; Holzer, Felicitas; Ortiz, Ivette; Biller-Andorno, Nikola; März, Julian W.",2023,,journalArticle,,,2023,2023-11-06 14:10:28,2023-11-06 14:10:28,160–164,,7NUBNAIN
Concise Argument: Impact and Pandemic Reasonableness,Journal of Medical Ethics,48,9,10.1136/jme-2022-108560,"McMillan, John",2022,,journalArticle,,,2022,2023-11-06 14:09:50,2023-11-06 14:09:50,577–578,,37VKC7IB
Dual Duties to Patient and Planet: Time to Revisit the Ethical Foundations of Healthcare?,Journal of Medical Ethics,49,2,10.1136/jme-2022-108847,"Bhopal, Anand; erøe, Kristine B\a",2023,,journalArticle,,,2023,2023-11-06 14:10:26,2023-11-06 14:10:26,102–103,,YQFN75V5
Ethics of Generative Ai,Journal of Medical Ethics,49,2,10.1136/jme-2023-108909,"Zohny, Hazem; McMillan, John; King, Mike",2023,,journalArticle,,,2023,2023-11-06 14:10:24,2023-11-06 14:10:24,79–80,,T2J52ECN
Primer on an Ethics of Ai-Based Decision Support Systems in the Clinic,Journal of Medical Ethics,47,12,10.1136/medethics-2019-105860,"Braun, Matthias; Hummel, Patrik; Beck, Susanne; Dabrock, Peter",2021,,journalArticle,,,2021,2023-11-06 14:05:09,2023-11-06 14:05:09,3–3,,7VX425TC
Assessing Data Protection and Governance in Health Information Systems: A Novel Methodology of Privacy and Ethics Impact and Performance Assessment,Journal of Medical Ethics,47,12,10.1136/medethics-2019-105948,"Iorio, Concetta Tania Di; Carinci, Fabrizio; Oderkirk, Jillian; Smith, David; Siano, Manuela; Marco, Dorotea Alessandra de; Lusignan, Simon de; Hamalainen, Paivi; Benedetti, Massimo Massi",2021,,journalArticle,,,2021,2023-11-06 14:05:12,2023-11-06 14:05:12,23–23,,25Z67H3G
Prepared for Practice? Uk Foundation Doctors? Confidence in Dealing with Ethical Issues in the Workplace,Journal of Medical Ethics,47,12,10.1136/medethics-2019-105961,"Corfield, Lorraine; Williams, Richard Alun; Lavelle, Claire; Latcham, Natalie; Talash, Khojasta; Machin, Laura",2021,,journalArticle,,,2021,2023-11-06 14:05:12,2023-11-06 14:05:12,25–25,,VHSJSLX7
Represent Me: Please! Towards an Ethics of Digital Twins in Medicine,Journal of Medical Ethics,47,6,10.1136/medethics-2020-106134,"Braun, Matthias",2021,,journalArticle,,,2021,2023-11-06 14:05:10,2023-11-06 14:05:10,394–400,,AT9R83S6
Congenitally Decorticate Children?s Potential and Rights,Journal of Medical Ethics,47,12,10.1136/medethics-2020-106163,"Andersson, Anna-Karin Margareta",2021,,journalArticle,,,2021,2023-11-06 14:05:12,2023-11-06 14:05:12,85–85,,I6CBIFRN
Triage and Justice in an Unjust Pandemic: Ethical Allocation of Scarce Medical Resources in the Setting of Racial and Socioeconomic Disparities,Journal of Medical Ethics,47,3,10.1136/medethics-2020-106457,"Tolchin, Benjamin; Hull, Sarah C.; Kraschel, Katherine",2021,,journalArticle,,,2021,2023-11-06 14:05:11,2023-11-06 14:05:11,200–202,,PIH9XXEZ
Sars-Cov-2 Challenge Studies: Ethics and Risk Minimisation,Journal of Medical Ethics,47,12,10.1136/medethics-2020-106504,"Bull, Susan; Jamrozik, Euzebiusz; Binik, Ariella; Parker, Michael J.",2021,,journalArticle,,,2021,2023-11-06 14:05:10,2023-11-06 14:05:10,79–79,,RX2UTXWC
Balancing Health Worker Well-Being and Duty to Care: An Ethical Approach to Staff Safety in Covid-19 and Beyond,Journal of Medical Ethics,47,5,10.1136/medethics-2020-106557,"McDougall, Rosalind J.; Gillam, Lynn; Ko, Danielle; Holmes, Isabella; Delany, Clare",2021,,journalArticle,,,2021,2023-11-06 14:05:13,2023-11-06 14:05:13,318–323,,VSIH5RPC
Ethical Challenges for Women?s Healthcare Highlighted by the Covid-19 Pandemic,Journal of Medical Ethics,47,2,10.1136/medethics-2020-106646,"Bruno, Bethany; Shalowitz, David I.; Arora, Kavita Shah",2021,,journalArticle,,,2021,2023-11-06 14:05:09,2023-11-06 14:05:09,69–72,,FWF5H6R2
Creating an Ethical Culture to Support Recovery From Substance Use Disorders,Journal of Medical Ethics,47,12,10.1136/medethics-2020-106661,"Williamson, Laura",2021,,journalArticle,,,2021,2023-11-06 14:05:12,2023-11-06 14:05:12,9–9,,VX4IALMG
How Individual Ethical Frameworks Shape Physician Trainees? Experiences Providing End-of-Life Care: A Qualitative Study,Journal of Medical Ethics,47,12,10.1136/medethics-2020-106690,"Rosenwohl-Mack, Sarah; Dohan, Daniel; Matthews, Thea; Batten, Jason Neil; Dzeng, Elizabeth",2021,,journalArticle,,,2021,2023-11-06 14:05:13,2023-11-06 14:05:13,72–72,,62E7LGU8
Paramedic Delivery of Bad News: A Novel Dilemma During the Covid-19 Crisis,Journal of Medical Ethics,47,1,10.1136/medethics-2020-106710,"Campbell, Iain",2021,,journalArticle,,,2021,2023-11-06 14:05:12,2023-11-06 14:05:12,16–19,,BMXRVNJX
Towards Collective Moral Resilience: The Potential of Communities of Practice During the Covid-19 Pandemic and Beyond,Journal of Medical Ethics,47,6,10.1136/medethics-2020-106764,"Delgado, Janet; Siow, Serena; Groot, Janet de; McLane, Brienne; Hedlin, Margot",2021,,journalArticle,,,2021,2023-11-06 14:05:13,2023-11-06 14:05:13,374–382,,CETSK874
Ai Support for Ethical Decision-Making Around Resuscitation: Proceed with Care,Journal of Medical Ethics,48,3,10.1136/medethics-2020-106786,"Biller-Andorno, Nikola; Ferrario, Andrea; Joebges, Susanne; Krones, Tanja; Massini, Federico; Barth, Phyllis; Arampatzis, Georgios; Krauthammer, Michael",2022,,journalArticle,,,2022,2023-11-06 14:09:47,2023-11-06 14:09:47,175–183,,PT22ZCDZ
Ethical Climate in Contemporary Paediatric Intensive Care,Journal of Medical Ethics,47,12,10.1136/medethics-2020-106818,"Moynihan, Katie M.; Taylor, Lisa; Crowe, Liz; Balnaves, Mary-Claire; Irving, Helen; Ozonoff, Al; Truog, Robert D.; Jansen, Melanie",2021,,journalArticle,,,2021,2023-11-06 14:05:11,2023-11-06 14:05:11,14–14,,VMUSH5TI
Challenges to Biobanking in Lmics During Covid-19: Time to Reconceptualise Research Ethics Guidance for Pandemics and Public Health Emergencies?,Journal of Medical Ethics,48,7,10.1136/medethics-2020-106858,"Singh, Shenuka; Cadigan, Rosemary Jean; Moodley, Keymanthri",2022,,journalArticle,,,2022,2023-11-06 14:09:48,2023-11-06 14:09:48,466–471,,FH5KIUIT
