,Unnamed: 0,Title,Publication Title,Volume,Issue,DOI,Authors,Publication Year,URL,Type,Abstract,Keywords,ISBN,ISSN,Date,Date Added,Date Modified,Pages,Series,Publisher,Key,Eligibility_Abstract_Score,Eligibility_Keywords_Score,Eligibility_Title_Score,Eligibility_Score
223,223,Charting the Sociotechnical Gap in Explainable AI: A Framework to Address the Gap in XAI,Proc. ACM Hum.-Comput. Interact.,7.0,CSCW1,10.1145/3579467,"Ehsan, Upol; Saha, Koustuv; De Choudhury, Munmun; Riedl, Mark O.",2023.0,https://doi.org/10.1145/3579467,journalArticle,"Explainable AI (XAI) systems are sociotechnical in nature; thus, they are subject to the sociotechnical gap-divide between the technical affordances and the social needs. However, charting this gap is challenging. In the context of XAI, we argue that charting the gap improves our problem understanding, which can reflexively provide actionable insights to improve explainability. Utilizing two case studies in distinct domains, we empirically derive a framework that facilitates systematic charting of the sociotechnical gap by connecting AI guidelines in the context of XAI and elucidating how to use them to address the gap. We apply the framework to a third case in a new domain, showcasing its affordances. Finally, we discuss conceptual implications of the framework, share practical considerations in its operationalization, and offer guidance on transferring it to new contexts. By making conceptual and practical contributions to understanding the sociotechnical gap in XAI, the framework expands the XAI design space.",AI ethics; AI governance; responsible ai; explainable ai; fate; framework; human-AI interaction; human-centered explainable ai; organizational dynamics; participatory design; sociotechnical gap; user study,,,2023-04,2023-11-06 01:30:03,2023-11-06 01:30:03,,,,U52G6WJN,0.0132450331125827,0.3043478260869565,0.0666666666666666,0.0620156212281176
224,224,The Profile: Unleashing Your Deepfake Self,Multimedia Tools Appl.,82.0,20,10.1007/s11042-023-14568-x,"Cheres, Ioana; Groza, Adrian",2023.0,https://doi.org/10.1007/s11042-023-14568-x,journalArticle,"From the way we perceive society to the way we perceive ourselves, the virtual environment is changing the fundamental mechanisms of living. There is a significant gap in understanding the impact of current AI technologies on society. For instance, deepfake creates realistic forgeries that make people unable to distinguish reality from fiction, while filtering algorithms distort the perception by amplifying the interests of the user. The speed and scale of the virtual world and its hazy moral context put pressure on regulators to build the groundwork of ethical codes and regulatory frameworks. The multifaceted nature of such regulatory frameworks - legal, technological, societal, political, ethical - make it a challenging task, in which the public perception remains a key issue.The study presents a multimedia art installation - “The Profile”- based on deepfake technologies, in which the users movements are gradually learned and an alter ego is generated. The user becomes confused when this alter ego starts to deviate from its initial mirroring behaviour. “The Profile” artwork aims to raise awareness of the main threats of current online technologies and dark patterns employed online. The users experience ethical dilemmas regarding the impact of the latest technologies in a metaphoric approach. The interaction is structured in three parts that match the steps of creating an online identity: (i) filling personal data, (ii) agreeing to terms and conditions, and (iii) receiving personalised content. Our work extends the current state-of-the-art by using the decomposition of the frame along with the image simplification, real time rendering and the combination of ethics and art for human-centred technology. We also discuss some of the risks of AI, along with the proposal of art as a way to approach technology ethics. With the “The Profile”, we aim to raise awareness about the power of deepfakes, build new technology, understand human behaviour, and present a fresh perspective on intertwining art and AI.",AI ethics; AI and art; Full body puppetry,,1380-7501,2023-03,2023-11-06 01:30:00,2023-11-06 01:30:00,31839–31854,,,2I6YB4BM,0.0543130990415335,0.5,0.0,0.061870761035651
225,225,AI Alignment Dialogues: An Interactive Approach to AI Alignment in Support Agents,"Proceedings of the 2022 AAAI/ACM Conference on AI, Ethics, and Society",,,10.1145/3514094.3539531,"Chen, Pei-Yu",2022.0,https://doi.org/10.1145/3514094.3539531,conferencePaper,"This project proposes a different way of looking at AI alignment, namely by introducing AI Alignment Dialogues. We argue that alignment dialogues have a number of advantages in comparison to data-driven approaches, especially for behaviour support agents, which aim to support users in achieving their desired future behaviours rather than their current behaviours. The advantages of alignment dialogues include allowing the users to directly convey higher-level concepts to the agent and making the agent more transparent and trusted.",responsible AI; AI alignment; behaviour support agent; conversational agent; human values,978-1-4503-9247-1,,2022,2023-11-06 01:29:53,2023-11-06 01:29:53,894,AIES '22,Association for Computing Machinery,VE5Q7R3C,0.0256410256410256,0.1818181818181818,0.1666666666666666,0.0615599530493147
226,226,Ground Truth Or Dare: Factors Affecting The Creation Of Medical Datasets For Training AI,"Proceedings of the 2023 AAAI/ACM Conference on AI, Ethics, and Society",,,10.1145/3600211.3604766,"Zając, Hubert Dariusz; Avlona, Natalia Rozalia; Kensing, Finn; Andersen, Tariq Osman; Shklovski, Irina",2023.0,https://doi.org/10.1145/3600211.3604766,conferencePaper,"One of the core goals of responsible AI development is ensuring high-quality training datasets. Many researchers have pointed to the importance of the annotation step in the creation of high-quality data, but less attention has been paid to the work that enables data annotation. We define this work as the design of ground truth schema and explore the challenges involved in the creation of datasets in the medical domain even before any annotations are made. Based on extensive work in three health-tech organisations, we describe five external and internal factors that condition medical dataset creation processes. Three external factors include regulatory constraints, the context of creation and use, and commercial and operational pressures. These factors condition medical data collection and shape the ground truth schema design. Two internal factors include epistemic differences and limits of labelling. These directly shape the design of the ground truth schema. Discussions of what constitutes high-quality data need to pay attention to the factors that shape and constrain what is possible to be created, to ensure responsible AI design.",Data Creation; Medical Datasets; Responsible Artificial Intelligence and Machine Learning,9798400702310,,2023,2023-11-06 01:29:50,2023-11-06 01:29:50,351–362,AIES '23,Association for Computing Machinery,57IURNWH,0.0517241379310344,0.1,0.1428571428571428,0.0609984272063623
227,227,AI and Shared Prosperity,"Proceedings of the 2021 AAAI/ACM Conference on AI, Ethics, and Society",,,10.1145/3461702.3462619,"Klinova, Katya; Korinek, Anton",2021.0,https://doi.org/10.1145/3461702.3462619,conferencePaper,"Future advances in AI that automate away human labor may have stark implications for labor markets and inequality. This paper proposes a framework to analyze the effects of specific types of AI systems on the labor market, based on how much labor demand they will create versus displace, while taking into account that productivity gains also make society wealthier and thereby contribute to additional labor demand. This analysis enables ethically-minded companies creating or deploying AI systems as well as researchers and policymakers to take into account the effects of their actions on labor markets and inequality, and therefore to steer progress in AI in a direction that advances shared prosperity and an inclusive economic future for all of humanity.",automation; inequality; job displacement; shared prosperity; socio-technical systems; steering technological progress,978-1-4503-8473-5,,2021,2023-11-06 01:29:55,2023-11-06 01:29:55,645–651,AIES '21,Association for Computing Machinery,YJPH7SU2,0.0504201680672268,0.0909090909090909,0.25,0.0609941080659889
228,228,"Computer Science Communities: Who is Speaking, and Who is Listening to the Women? Using an Ethics of Care to Promote Diverse Voices","Proceedings of the 2021 ACM Conference on Fairness, Accountability, and Transparency",,,10.1145/3442188.3445874,"Cheong, Marc; Leins, Kobi; Coghlan, Simon",2021.0,https://doi.org/10.1145/3442188.3445874,conferencePaper,"Those working on policy, digital ethics and governance often refer to issues in 'computer science', that includes, but is not limited to, common subfields such as Artificial Intelligence (AI), Computer Science (CS) Computer Security (InfoSec), Computer Vision (CV), Human Computer Interaction (HCI), Information Systems, (IS), Machine Learning (ML), Natural Language Processing (NLP) and Systems Architecture. Within this framework, this paper is a preliminary exploration of two hypotheses, namely 1) Each community has differing inclusion of minoritised groups (using women as our test case, by identifying female-sounding names); and 2) Even where women exist in a community, they are not published representatively. Using data from 20,000 research records, totalling 503,318 names, preliminary data supported our hypothesis. We argue that ACM has an ethical duty of care to its community to increase these ratios, and to hold individual computing communities to account in order to do so, by providing incentives and a regular reporting system, in order to uphold its own Code.",diversity; gender; computer science; gender representation; publishing; research; sex equality,978-1-4503-8309-7,,2021,2023-11-06 01:30:04,2023-11-06 01:30:04,106–115,FAccT '21,Association for Computing Machinery,GHDK25MA,0.0625,0.0,0.0909090909090909,0.0608511415842962
229,229,The Future of Cognitive Personal Informatics,Proceedings of the 25th International Conference on Mobile Human-Computer Interaction,,,10.1145/3565066.3609790,"Schneegass, Christina; Wilson, Max L; Maior, Horia A.; Chiossi, Francesco; Cox, Anna L; Wiese, Jason",2023.0,https://doi.org/10.1145/3565066.3609790,conferencePaper,"While Human-Computer Interaction (HCI) has contributed to demonstrating that physiological measures can be used to detect cognitive changes, engineering and machine learning will bring these to application in consumer wearable technology. For HCI, many open questions remain, such as: What happens when this becomes a cognitive form of personal informatics? What goals do we have for our daily cognitive activity? How should such a complex concept be conveyed to users to be useful in their everyday life? How can we mitigate potential ethical concerns? These issues are different from physiologically controlled interactions, such as BCIs, to a time when we have new data about ourselves. This workshop will be the first to directly address the future of Cognitive Personal Informatics (CPI), by bringing together design, BCI and physiological data, ethics, and personal informatics researchers to discuss and set the research agenda in this inevitable future before it arrives.",digital health; neurotechnology; personal informatics; well-being; work-life balance,978-1-4503-9924-1,,2023,2023-11-06 01:30:04,2023-11-06 01:30:04,,MobileHCI '23 Companion,Association for Computing Machinery,KW3FMGBQ,0.0472972972972973,0.25,0.0,0.0607986034815303
230,230,What Could Safety Research Contribute to Technology Design?,"Culture and Computing. Design Thinking and Cultural Computing: 9th International Conference, C&amp;C 2021, Held as Part of the 23rd HCI International Conference, HCII 2021, Virtual Event, July 24–29, 2021, Proceedings, Part II",,,10.1007/978-3-030-77431-8_4,"Hallamaa, Jaana",2021.0,https://doi.org/10.1007/978-3-030-77431-8_4,conferencePaper,"There is already evidence of several mishaps, accidents, and even major catastrophes in which AI technologies have played a part. Among them are traditional types of organizational accidents but also complex misadventures where the effects of the use of AI technology intertwine with human action in the context of intricate socio-technical settings. The origins of problems range from making errors during a planned course of action to accidents due to unintended and unpredictable outcomes of the use of AI. A variety of ethical principles for the use and design of AI have been formulated to remedy the ills. The article sums up the main concepts of the AI ethical codes and discusses their role in attempts to prevent AI-induced problems. According to recent empirical studies, the impact of ethics principles is weak in terms of real-life AI design and use. As an alternative, the article suggests the findings of safety research as a source for a practice-oriented approach to tackle the problems. A century-long study of safety provides both conceptual models and practical tools for the prevention of accidents and creating the means to improve safety. The article introduces the main findings of this line of research and suggests how the Normal Accident Theory, High Reliability Organizations studies, and Just Culture approach could contribute to a safer AI design.",AI-Ethics; High Reliability Organizations; Just culture; Normal Accident Theory; Organizational accidents; Safety culture,978-3-030-77430-1,,2021,2023-11-06 01:30:03,2023-11-06 01:30:03,56–79,,Springer-Verlag,EFU5ZUDF,0.0684931506849315,0.0,0.0,0.0605697784977286
231,231,Designing Interfaces to Elicit Data Issues for Data Workers,"Proceedings of the 2023 AAAI/ACM Conference on AI, Ethics, and Society",,,10.1145/3600211.3604756,"Bryson, Kevin",2023.0,https://doi.org/10.1145/3600211.3604756,conferencePaper,"Goals of objectivity and neutrality drive the usage of algorithmic systems, however most efforts have produced similar or more harm than their human counterparts. Post-hoc analyses of these flawed systems often reveal systemic issues underlying the data and flawed assumptions in preparation stages that affect the models produced. To date, the algorithmic fairness community has had a myopic focus on optimizing and evaluating algorithmic systems at static decision points and mathematical definitions of fairness, neglecting efforts towards critically understanding the data being used prior to modeling. My research aims to support data workers’ sociotechnical understanding of data by creating new interfaces and methods to elicit and utilize their prior knowledge and open information (such as census data), as means to discover and augment harmful patterns in data.",,9798400702310,,2023,2023-11-06 01:29:58,2023-11-06 01:29:58,957–958,AIES '23,Association for Computing Machinery,PRLLA3PS,0.0472440944881889,0.0,0.2222222222222222,0.0583448574304555
232,232,Bias in Hate Speech and Toxicity Detection,"Proceedings of the 2022 AAAI/ACM Conference on AI, Ethics, and Society",,,10.1145/3514094.3539519,"Reyero Lobo, Paula",2022.0,https://doi.org/10.1145/3514094.3539519,conferencePaper,"Many Artificial Intelligence (AI) systems rely on finding patterns in large datasets, which are prone to bias and exacerbate existing segregation and inequalities of marginalised communities. Due to their socio-technical impact, bias in AI has become a pressing issue. In this work, we investigate discrimination prevention methods on the assumption that disparities of specific populations in the training samples are reproduced or even amplified in the AI system outcomes. We aim to identify the information from vulnerable groups in the training data, uncover potential inequalities in how data capture these groups and provide additional information about them to alleviate inequalities, e.g., stereotypical and generalised views that lead to learning discriminatory associations. We develop data preprocessing techniques in automated moderation (AI systems to flag or filter online abuse) due to its substantial social implications and existing challenges common to many AI applications.",artificial intelligence; bias; semantic web; toxic speech,978-1-4503-9247-1,,2022,2023-11-06 01:29:52,2023-11-06 01:29:52,910,AIES '22,Association for Computing Machinery,MGR4T53G,0.0638297872340425,0.0,0.0,0.0580377167150964
233,233,Machine Learning and Power Relations,AI Soc.,38.0,4,10.1007/s00146-022-01400-7,"Maas, Jonne",2022.0,https://doi.org/10.1007/s00146-022-01400-7,journalArticle,"There has been an increased focus within the AI ethics literature on questions of power, reflected in the ideal of accountability supported by many Responsible AI guidelines. While this recent debate points towards the power asymmetry between those who shape AI systems and those affected by them, the literature lacks normative grounding and misses conceptual clarity on how these power dynamics take shape. In this paper, I develop a workable conceptualization of said power dynamics according to Cristiano Castelfranchi’s conceptual framework of power and argue that end-users depend on a system’s developers and users, because end-users rely on these systems to satisfy their goals, constituting a power asymmetry between developers, users and end-users. I ground my analysis in the neo-republican moral wrong of domination, drawing attention to legitimacy concerns of the power-dependence relation following from the current lack of accountability mechanisms. I illustrate my claims on the basis of a risk-prediction machine learning system, and propose institutional (external auditing) and project-specific solutions (increase contestability through design-for-values approaches) to mitigate domination.",Responsible AI; Machine learning; AI design; Design-for-values; Domination; Power relations,,0951-5666,2022-02,2023-11-06 01:30:03,2023-11-06 01:30:03,1493–1500,,,PS88WJ39,0.0411764705882352,0.3,0.0,0.0576840160147828
234,234,Fostering AI Literacy with Embodiment &amp; Creativity: From Activity Boxes to Museum Exhibits,Proceedings of the 22nd Annual ACM Interaction Design and Children Conference,,,10.1145/3585088.3594495,"Long, Duri; Rollins, Sophie; Ali-Diaz, Jasmin; Hancock, Katherine; Nuonsinoeun, Samnang; Roberts, Jessica; Magerko, Brian",2023.0,https://doi.org/10.1145/3585088.3594495,conferencePaper,"Fostering young learners’ literacy surrounding AI technologies is becoming increasingly important as AI is becoming integrated in many aspects of our lives and is having far-reaching impacts on society. We have developed Knowledge Net and Creature Features, two activity boxes for family groups to engage with in their homes that communicate AI literacy competencies such as understanding knowledge representations, the steps of machine learning, and AI ethics. Our current work is exploring how to transform these activity boxes into museum exhibits for middle-school age learners, focusing on three key considerations: centering learner interests, generating personally meaningful outputs, and incorporating embodiment and collaboration on a larger scale. Our demonstration will feature the existing Knowledge Net and Creature Features activity boxes alongside early-stage prototypes adapting these activities into larger-scale museum exhibits. This paper contributes an exploration into how to design AI literacy learning interventions for varied informal learning contexts.",AI literacy; AI education; at-home learning; design research; informal learning; museum exhibit; prototyping; tangible user interfaces,9798400701313,,2023,2023-11-06 01:30:03,2023-11-06 01:30:03,727–731,IDC '23,Association for Computing Machinery,PYXMI4DD,0.0476190476190476,0.125,0.0769230769230769,0.0576754662961559
235,235,Data Subjects' Conceptualizations of and Attitudes Toward Automatic Emotion Recognition-Enabled Wellbeing Interventions on Social Media,Proc. ACM Hum.-Comput. Interact.,5.0,CSCW2,10.1145/3476049,"Roemmich, Kat; Andalibi, Nazanin",2021.0,https://doi.org/10.1145/3476049,journalArticle,"Automatic emotion recognition (ER)-enabled wellbeing interventions use ER algorithms to infer the emotions of a data subject (i.e., a person about whom data is collected or processed to enable ER) based on data generated from their online interactions, such as social media activity, and intervene accordingly. The potential commercial applications of this technology are widely acknowledged, particularly in the context of social media. Yet, little is known about data subjects' conceptualizations of and attitudes toward automatic ER-enabled wellbeing interventions. To address this gap, we interviewed 13 US adult social media data subjects regarding social media-based automatic ER-enabled wellbeing interventions. We found that participants' attitudes toward automatic ER-enabled wellbeing interventions were predominantly negative. Negative attitudes were largely shaped by how participants compared their conceptualizations of Artificial Intelligence (AI) to the humans that traditionally deliver wellbeing support. Comparisons between AI and human wellbeing interventions were based upon human attributes participants doubted AI could hold: 1) helpfulness and authentic care; 2) personal and professional expertise; 3) morality; and 4) benevolence through shared humanity. In some cases, participants' attitudes toward automatic ER-enabled wellbeing interventions shifted when participants conceptualized automatic ER-enabled wellbeing interventions' impact on others, rather than themselves. Though with reluctance, a minority of participants held more positive attitudes toward their conceptualizations of automatic ER-enabled wellbeing interventions, citing their potential to benefit others: 1) by supporting academic research; 2) by increasing access to wellbeing support; and 3) through egregious harm prevention. However, most participants anticipated harms associated with their conceptualizations of automatic ER-enabled wellbeing interventions for others, such as re-traumatization, the spread of inaccurate health information, inappropriate surveillance, and interventions informed by inaccurate predictions. Lastly, while participants had qualms about automatic ER-enabled wellbeing interventions, we identified three development and delivery qualities of automatic ER-enabled wellbeing interventions upon which their attitudes toward them depended: 1) accuracy; 2) contextual sensitivity; and 3) positive outcome. Our study is not motivated to make normative statements about whether or how automatic ER-enabled wellbeing interventions should exist, but to center voices of the data subjects affected by this technology. We argue for the inclusion of data subjects in the development of requirements for ethical and trustworthy ER applications. To that end, we discuss ethical, social, and policy implications of our findings, suggesting that automatic ER-enabled wellbeing interventions imagined by participants are incompatible with aims to promote trustworthy, socially aware, and responsible AI technologies in the current practical and regulatory landscape in the US.",AI ethics; ethics; fairness; emotion recognition; affect recognition; affective computing; algorithmic accountability; artificial emotional intelligence; emotion ai; social media; wellbeing interventions,,,2021-10,2023-11-06 01:30:02,2023-11-06 01:30:02,,,,YS9GKVKD,0.0421836228287841,0.2857142857142857,0.0666666666666666,0.0575557987203233
236,236,COVID-19 Brings Data Equity Challenges to the Fore,Digit. Gov.: Res. Pract.,2.0,2,10.1145/3440889,"Jagadish, H. V.; Stoyanovich, Julia; Howe, Bill",2021.0,https://doi.org/10.1145/3440889,journalArticle,"The COVID-19 pandemic is compelling us to make crucial data-driven decisions quickly, bringing together diverse and unreliable sources of information without the usual quality control mechanisms we may employ. These decisions are consequential at multiple levels: They can inform local, state, and national government policy, be used to schedule access to physical resources such as elevators and workspaces within an organization, and inform contact tracing and quarantine actions for individuals. In all these cases, significant inequities are likely to arise and to be propagated and reinforced by data-driven decision systems. In this article, we propose a framework, called FIDES, for surfacing and reasoning about data equity in these systems.",data ethics; Data equity; responsible data science,,,2021-03,2023-11-06 01:30:01,2023-11-06 01:30:01,,,,8V5AUBG3,0.0091743119266055,0.7142857142857143,0.125,0.0575216081829366
237,237,Hard Choices and Hard Limits in Artificial Intelligence,"Proceedings of the 2021 AAAI/ACM Conference on AI, Ethics, and Society",,,10.1145/3461702.3462539,"Goodman, Bryce",2021.0,https://doi.org/10.1145/3461702.3462539,conferencePaper,"Artificial intelligence (AI) is supposed to help us make better choices. Some of these choices are small, like what route to take to work, or what music to listen to. Others are big, like what treatment to administer for a disease or how long to sentence someone for a crime. If AI can assist with these big decisions, we might think it can also help with hard choices, cases where alternatives are neither better, worse nor equal but on a par. The aim of this paper, however, is to show that this view is mistaken: the fact of parity shows that there are hard limits on AI in decision making and choices that AI cannot, and should not, resolve.",AI ethics; fairness; hard choices; value alignment,978-1-4503-8473-5,,2021,2023-11-06 01:29:49,2023-11-06 01:29:49,112–121,AIES '21,Association for Computing Machinery,UDPALJ2W,0.0336134453781512,0.4285714285714285,0.0,0.0574789915966386
238,238,Applying a Principle of Explicability to AI Research in Africa: Should We Do It?,Ethics and Inf. Technol.,23.0,2,10.1007/s10676-020-09534-2,"Carman, Mary; Rosman, Benjamin",2021.0,https://doi.org/10.1007/s10676-020-09534-2,journalArticle,"Developing and implementing artificial intelligence (AI) systems in an ethical manner faces several challenges specific to the kind of technology at hand, including ensuring that decision-making systems making use of machine learning are just, fair, and intelligible, and are aligned with our human values. Given that values vary across cultures, an additional ethical challenge is to ensure that these AI systems are not developed according to some unquestioned but questionable assumption of universal norms but are in fact compatible with the societies in which they operate. This is particularly pertinent for AI research and implementation across Africa, a ground where AI systems are and will be used but also a place with a history of imposition of outside values. In this paper, we thus critically examine one proposal for ensuring that decision-making systems are just, fair, and intelligible—that we adopt a principle of explicability to generate specific recommendations—to assess whether the principle should be adopted in an African research context. We argue that a principle of explicability not only can contribute to responsible and thoughtful development of AI that is sensitive to African interests and values, but can also advance tackling some of the computational challenges in machine learning research. In this way, the motivation for ensuring that a machine learning-based system is just, fair, and intelligible is not only to meet ethical requirements, but also to make effective progress in the field itself.",Machine learning; Accountability; Africa; Intelligibility; Principle of explicability,,1388-1957,2021-06,2023-11-06 01:30:04,2023-11-06 01:30:04,107–117,,,MD4DNB2F,0.0598290598290598,0.0,0.0714285714285714,0.0573834662069956
239,239,Against “Democratizing AI”,AI Soc.,38.0,4,10.1007/s00146-021-01357-z,"Himmelreich, Johannes",2022.0,https://doi.org/10.1007/s00146-021-01357-z,journalArticle,"This paper argues against the call to democratize artificial intelligence (AI). Several authors demand to reap purported benefits that rest in direct and broad participation: In the governance of AI, more people should be more involved in more decisions about AI—from development and design to deployment. This paper opposes this call. The paper presents five objections against broadening and deepening public participation in the governance of AI. The paper begins by reviewing the literature and carving out a set of claims that are associated with the call to “democratize AI”. It then argues that such a democratization of AI (1) rests on weak grounds, because it does not answer to a demand of legitimization, (2) is redundant in that it overlaps with existing governance structures, (3) is resource intensive, which leads to injustices, (4) is morally myopic and thereby creates popular oversights and moral problems of its own, and finally, (5) is neither theoretically nor practically the right kind of response to the injustices that animate the call. The paper concludes by suggesting that AI should be democratized not by broadening and deepening participation but by increasing the democratic quality of the administrative and executive elements of collective decision making. In a slogan: The question is not so much whether AI should be democratized but how.",AI Ethics; Artificial Intelligence; Governance; Participation; Democracy; Public administration,,0951-5666,2022-01,2023-11-06 01:30:00,2023-11-06 01:30:00,1333–1346,,,SL7JI7VX,0.0324074074074074,0.3333333333333333,0.3333333333333333,0.0567795874857454
240,240,"Flickr Africa: Examining Geo-Diversity in Large-Scale, Human-Centric Visual Data","Proceedings of the 2023 AAAI/ACM Conference on AI, Ethics, and Society",,,10.1145/3600211.3604659,"Naggita, Keziah; LaChance, Julienne; Xiang, Alice",2023.0,https://doi.org/10.1145/3600211.3604659,conferencePaper,"Biases in large-scale image datasets are known to influence the performance of computer vision models as a function of geographic context. To investigate the limitations of standard Internet data collection methods in low- and middle-income countries, we analyze human-centric image geo-diversity on a massive scale using geotagged Flickr images associated with each nation in Africa. We report the quantity and content of available data with comparisons to population-matched nations in Europe as well as the distribution of data according to fine-grained intra-national wealth estimates. Temporal analyses are performed at two-year intervals to expose emerging data trends. Furthermore, we present findings for an “othering” phenomenon as evidenced by a substantial number of images from Africa being taken by non-local photographers. The results of our study suggest that further work is required to capture image data representative of African people and their environments and, ultimately, to improve the applicability of computer vision models in a global context.",Africa; AI Ethics; Computer Vision; Datasets; Geo-diversity; Machine Learning,9798400702310,,2023,2023-11-06 01:29:49,2023-11-06 01:29:49,520–530,AIES '23,Association for Computing Machinery,VFT6G42K,0.032258064516129,0.3333333333333333,0.1111111111111111,0.0562931414733607
241,241,Towards Pluralistic Value Alignment: Aggregating Value Systems Through ℓp-Regression,Proceedings of the 21st International Conference on Autonomous Agents and Multiagent Systems,,,,"Lera-Leri, Roger; Bistaffa, Filippo; Serramia, Marc; Lopez-Sanchez, Maite; Rodriguez-Aguilar, Juan",2022.0,https://dl.acm.org/doi/10.5555/3535850.3535938,conferencePaper,"Dealing with the challenges of an interconnected globalised world requires to handle plurality. This is no exception when considering value-aligned intelligent systems, since the values to align with should capture this plurality. So far, most literature on value-alignment has just considered a single value system. Thus, this paper advances the state of the art by proposing a method for the aggregation of value systems. By exploiting recent results in the social choice literature, we formalise our aggregation problem as an optimisation problem. We then cast such problem as an ℓp-regression problem. By doing so, we provide a general theoretical framework that allows us to model and solve the above-mentioned problem. Our aggregation method allows us to consider a range of ethical principles, from utilitarian (maximum utility) to egalitarian (maximum fairness). We illustrate the aggregation of value systems by considering real-world data from the European Value Study. Specifically, we show how different consensus value systems can be obtained depending on the ethical principle of choice.",ethics; ai &amp; optimisation; value systems,978-1-4503-9213-6,,2022,2023-11-06 01:30:01,2023-11-06 01:30:01,780–788,AAMAS '22,International Foundation for Autonomous Agents and Multiagent Systems,8ZBMBQLA,0.0426829268292682,0.5,0.0,0.0561382444581158
242,242,Pedagogical Possibilities of Critical Engagement in Introductory CS Education,Proceedings of the 52nd ACM Technical Symposium on Computer Science Education,,,10.1145/3408877.3439659,"Yaghoobian, Hamed",2021.0,https://doi.org/10.1145/3408877.3439659,conferencePaper,"Computer science holds the unfortunate distinction, at least historically, as a pragmatic and often non-critical domain of practice - in terms of both theory and praxis. Nonetheless, we are witnessing a growing allegiance to AI and data ethics in both academia and industry, and purportedly, 200 university curricula claim to have complied with tech ethics [2]. This proliferation is a promising step forward and can be a useful corrective against discriminatory consequences concerning algorithmic systems, particularly in technical fields like CS and AI, where ethical issues are not discursively and normatively foregrounded. However, these efforts are more coordinated with conventional business ethics than more critical traditions of social justice [3] expected to prevail in educational settings [5]. It is required of educational systems to enable students to improve their technological sensibilities and skill sets to generate alternative possibilities that would challenge technocratic ideologies that are uncritical and limit innovation to the measures of efficiency and marketability.Nudged by these concerns and energized by the creative possibilities of a classroom, we realize the integration of the critical and social dimensions of computing technologies into introductory CS courses as a key area of attention and propose a pedagogical approach largely through concepts that have their legacies in intersectional feminist activism, collective organizing [1], and critical theory [4]. As reflected in the results from the surveys, this approach has resonated with %95.4 of the studied group of students.",computing technologies; critical theory; cs education; feminist ai,978-1-4503-8062-1,,2021,2023-11-06 01:30:04,2023-11-06 01:30:04,1267,SIGCSE '21,Association for Computing Machinery,VYG74Y6J,0.0555555555555555,0.125,0.0,0.0557287729906777
243,243,Managing Sustainability Tensions in Artificial Intelligence: Insights from Paradox Theory,"Proceedings of the 2022 AAAI/ACM Conference on AI, Ethics, and Society",,,10.1145/3514094.3534175,"Mill, Eleanor; Garn, Wolfgang; Ryman-Tubb, Nick",2022.0,https://doi.org/10.1145/3514094.3534175,conferencePaper,"This paper offers preliminary reflections on the sustainability tensions present in Artificial Intelligence (AI) and suggests that Paradox Theory, an approach borrowed from the strategic management literature, may help guide scholars towards innovative solutions. The benefits of AI to our society are well documented. Yet those benefits come at environmental and sociological cost, a fact which is often overlooked by mainstream scholars and practitioners. After examining the nascent corpus of literature on the sustainability tensions present in AI, this paper introduces the Accuracy - Energy Paradox and suggests how the principles of paradox theory can guide the AI community to a more sustainable solution.",green ai; paradox theory; sustainability of ai; sustainable ai,978-1-4503-9247-1,,2022,2023-11-06 01:29:58,2023-11-06 01:29:58,491–498,AIES '22,Association for Computing Machinery,NE7BUA9D,0.0384615384615384,0.3333333333333333,0.0,0.0556594254510921
244,244,Ordinary People as Moral Heroes and Foes: Digital Role Model Narratives Propagate Social Norms in China's Social Credit System,"Proceedings of the 2022 AAAI/ACM Conference on AI, Ethics, and Society",,,10.1145/3514094.3534180,"Chen, Mo; Engelmann, Severin; Grossklags, Jens",2022.0,https://doi.org/10.1145/3514094.3534180,conferencePaper,"The Chinese Social Credit System (SCS) is a digital sociotechnical credit system that rewards and sanctions economic and social behaviors of individuals and companies. As a complex and transformative digital credit system, the SCS uses digital communication channels to inform the Chinese public about behaviors that lead to reward or sanction. Since 2017, the Chinese government has been publishing ""blameworthy"" and ""praiseworthy"" role model narratives of ordinary Chinese citizens on its central SCS information platform creditchina.gov.cn. Across many cultures, role model narratives are a known instrument to convey ""appropriate"" and ""inappropriate"" social norms. Using a directed content analysis methodology, we study the SCS-specific social norms embedded in 100 ""praiseworthy"" and 100 ""blameworthy"" role model narratives published on creditchina.gov.cn. ""Blameworthy"" role model narratives stress social norms associated with an ""immoral"" SCS identity label termed ""Lao Lai"" - a ""moral foe"" that fails to repay debt. SCS role model narratives familiarize Chinese society with SCS-specific measures such as digital surveillance, public shaming, and disproportionate punishment. Our study makes progress towards understanding how a state-run sociotechnical credit system combines digital tools with culturally familiar customs to propagate ""blameworthy"" and ""praiseworthy"" identities.",china; moral education; narrative study; social credit system,978-1-4503-9247-1,,2022,2023-11-06 01:29:56,2023-11-06 01:29:56,181–191,AIES '22,Association for Computing Machinery,ABVY7SHZ,0.0531914893617021,0.0,0.1052631578947368,0.0552931049409787
